,Title,Genre,Premiere,Runtime,IMDB Score,Language,Month,Year,Is_english
567,Struggle: The Life and Lost Art of Szukaiski,Documentary,2018-12-21,105,8.0,English,12,2018,1
568,Chasing Coral ,Documentary,2017-07-14,89,8.1,English,7,2017,1
569,My Octopus Teacher,Documentary,2020-09-07,85,8.1,English,9,2020,1
570,Rising Phoenix,Documentary,2020-08-26,106,8.1,English,8,2020,1
571,13th,Documentary,2016-10-07,100,8.2,English,10,2016,1
572,Disclosure: Trans Lives on Screen,Documentary,2020-06-19,107,8.2,English,6,2020,1
573,Klaus,Animation/Christmas/Comedy/Adventure,2019-11-15,97,8.2,English,11,2019,1
574,Seaspiracy,Documentary,2021-03-24,89,8.2,English,3,2021,1
575,The Three Deaths of Marisela Escobedo,Documentary,2020-10-14,109,8.2,Spanish,10,2020,0
576,Cuba and the Cameraman ,Documentary,2017-11-24,114,8.3,English,11,2017,1
577,Dancing with the Birds,Documentary,2019-10-23,51,8.3,English,10,2019,1
578,Ben Platt: Live from Radio City Music Hall,Concert Film,2020-05-20,85,8.4,English,5,2020,1
579,Taylor Swift: Reputation Stadium Tour,Concert Film,2018-12-31,125,8.4,English,12,2018,1
580,Winter on Fire: Ukraine's Fight for Freedom,Documentary,2015-10-09,91,8.4,English/Ukranian/Russian,10,2015,1
581,Springsteen on Broadway,One-man show,2018-12-16,153,8.5,English,12,2018,1
582,Emicida: AmarElo - It's All For Yesterday,Documentary,2020-12-08,89,8.6,Portuguese,12,2020,0
583,David Attenborough: A Life on Our Planet,Documentary,2020-10-04,83,9.0,English,10,2020,1
